name,lat,lon,time,time_iso,u_wind,v_wind,dew_point,temperature,cloud_height,evaporation,wind_gust,mean_evaporation_rate,mean_potential_evaporation_rate,pressure,potential_evaporation,precipitation_type,soil_temperature,volumetric_soil_water,cloud_cover,hourly_precipitation,wind_angle,wind_direction,wind_speed
Point,51.5074,-0.1251,1700082000,2023-11-15T21:00:00,2.9534454345703125,0.7865753173828125,4.165277099609398,6.515374755859398,5384.9453125,-3.7725549191236496e-06,5.458910942077637,-1.0493677109479904e-06,-4.0070153772830963e-07,1018.30625,-1.437729224562645e-06,0.0,7.839868164062523,0.38061219453811646,1.0,0.0,255,w,3.0563934080710378
Point,51.5074,-0.1251,1700085600,2023-11-15T22:00:00,2.262939453125,0.89752197265625,3.8594604492187727,6.085168457031273,5143.8310546875,-3.723660483956337e-06,4.32351016998291,-1.0314397513866425e-06,-4.41534211859107e-07,1018.106875,-1.5969853848218918e-06,0.0,7.007531738281273,0.38027310371398926,1.0,0.0,248,w,2.434428199785412
Point,51.5074,-0.1251,1700089200,2023-11-15T23:00:00,1.8896484375,1.0820465087890625,3.6713500976562727,5.415643310546898,5097.5458984375,-1.728767529129982e-06,3.587212562561035,-4.817266017198563e-07,3.1912350095808506e-07,1017.958125,1.1485535651445389e-06,0.0,6.668572998046898,0.37998706102371216,1.0,0.0,240,sw,2.177520577291703
Point,51.5074,-0.1251,1700092800,2023-11-16T00:00:00,1.5332489013671875,0.81396484375,3.3049560546875227,4.748742675781273,4857.05517578125,-5.841720849275589e-07,2.8049674034118652,-1.5739351511001587e-07,7.888302206993103e-07,1017.76875,2.8510112315416336e-06,0.0,6.277246093750023,0.3797043561935425,0.990936279296875,0.0,242,sw,1.7359121407504037
Point,51.5074,-0.1251,1700096400,2023-11-16T01:00:00,1.4933624267578125,1.1985015869140625,2.7576538085937727,3.7727294921875227,4578.17041015625,6.726477295160294e-07,2.897862672805786,1.8463470041751862e-07,1.1459924280643463e-06,1016.80375,4.13600355386734e-06,0.0,6.111047363281273,0.37943515181541443,0.530059814453125,0.0,231,sw,1.9148204593348979
Point,51.5074,-0.1251,1700100000,2023-11-16T02:00:00,0.2020416259765625,1.191253662109375,2.8908020019531477,3.6201721191406477,4303.43994140625,-9.103678166866302e-08,2.6666388511657715,-2.3981556296348572e-08,6.323680281639099e-07,1016.185,2.2670719772577286e-06,0.0,5.959130859375023,0.3791539669036865,0.81005859375,0.0,190,s,1.2082657431692128
Point,51.5074,-0.1251,1700103600,2023-11-16T03:00:00,-0.5397796630859375,0.7977294921875,3.0543762207031477,3.6342407226562727,4035.419921875,-4.237517714500427e-08,2.069645404815674,-3.725290298461914e-09,5.906913429498672e-07,1015.6425,2.117827534675598e-06,1.0,5.474237060546898,0.37890130281448364,0.968475341796875,0.0,146,se,0.963189715158387
Point,51.5074,-0.1251,1700107200,2023-11-16T04:00:00,-0.9459991455078125,0.922760009765625,3.6892944335937727,4.243402099609398,3774.955078125,-2.698507159948349e-07,2.1170387268066406,-7.520429790019989e-08,4.84054908156395e-07,1014.70375,1.7613638192415237e-06,0.0,5.742150878906273,0.37864911556243896,0.992462158203125,0.0,134,se,1.3215144414361002
Point,51.5074,-0.1251,1700110800,2023-11-16T05:00:00,-2.2786712646484375,0.025634765625,3.9943481445312727,4.706750488281273,3016.80224609375,-3.1548552215099335e-07,3.784162998199463,-8.707866072654724e-08,6.265472620725632e-07,1013.3375,2.2526364773511887e-06,0.0,5.587304687500023,0.378384530544281,1.0,0.0,91,e,2.2788154540337744
Point,51.5074,-0.1251,1700114400,2023-11-16T06:00:00,-2.776031494140625,-0.25140380859375,4.002496337890648,5.175317382812523,2832.70458984375,-2.2239983081817627e-06,4.601757049560547,-6.23287633061409e-07,-6.752088665962219e-08,1012.273125,-2.4423934519290924e-07,0.0,5.722344970703148,0.3781328797340393,1.0,0.0,85,e,2.787392102205227
